	Total	Orig column
n11FAHRing	0.11248102673643962	1224
PEOE_VSA13	0.11213803246204346	1071
JGI5	0.11169495085347947	1247
n10FRing	0.11132651703949822	1187
NaasN	0.11099649485511565	898
nBr	0.11063736581190403	32
n11FARing	0.11059318154247336	1216
SdsN	0.11052022891416641	932
PEOE_VSA2	0.11008815901228405	1060
BCUTs-1l	0.10990670938548272	648
AXp-7d	0.10976212714652797	832
VSA_EState2	0.10911829515170135	1101
ATSC8c	0.10903314429195762	241
NsBr	0.10876327673986566	913
GATS3d	0.10854865968550659	563
n4Ring	0.10850426081503373	1149
SsBr	0.1080831906345347	951
PEOE_VSA1	0.10715492785300706	1059
n4ARing	0.1070143361039061	1170
ATSC7i	0.10682153053255894	339
BIC4	0.10572802548534019	1031
GGI10	0.1050166141965427	1242
ATSC3pe	0.10495940341639687	308
JGI6	0.10460211754414472	1248
GATS6are	0.10427012807622399	622
Xch-7dv	0.10425647575218608	802
n9FaRing	0.10388688914697727	1201
GATS6Z	0.10316333043201195	582
ATSC3se	0.10303938338116941	299
n3ARing	0.10273746953996646	1169
GATS2p	0.10269458128926948	626
ETA_dAlpha_A	0.10227334592979326	989
NdsN	0.10221672445005037	894
AATSC3pe	0.10151404729665803	416
ATSC1s	0.10096991137611669	261
AXp-1d	0.10041577944463823	826
EState_VSA5	0.10025960288229344	1094
GATS7s	0.10023160514746449	575
